MPI ID Number,Risk Measure Type,Programme Type,Operator Business Name,Operator Trading Name,NZBN,Status,Effective Date,Expiry Date,Verification Agency,Is Suspended,Suspension Type,Suspension Start Date,Suspension End Date,Suspended Operations,Physical Address,Physical Town/City,Operator Local Authority,Number of Locations,Location Local Authority,Dairy ULIs,Fishing Vessel Name,Intended Use,Product/Material,Primary,Secondary Process,Market
"AKD2007/01","Risk Management Programme","Chicken producers","YLH Farm Limited","","9429050245574","Registered","2024-06-26","","Quality Consultants New Zealand Limited","No","","","","","71 Douglas Road","Pollok","Auckland Council","1","Auckland Council","N/A","N/A","Human Consumption","Broiler (meat) chickens","Chicken producer","",""
"AKD2008/01","Risk Management Programme","Chicken producers","H & P Farms Limited","","9429031315630","Registered","2023-10-24","","Quality Consultants New Zealand Limited","No","","","","","56 Furniss Road, RD3, Waiuku","Auckland","Auckland Council","1","Auckland Council","N/A","N/A","Human Consumption","Broiler (meat) chickens","Chicken producer","",""
"AKD2011/01","Risk Management Programme","Chicken producers","Ashley Limited","","","Registered","2023-11-13","","Quality Consultants New Zealand Limited","No","","","","","106 Garvie Road","HUNUA","Auckland Council","1","Auckland Council","N/A","N/A","Human Consumption","Broiler (meat) chickens","Chicken producer","",""
"AKD2018/01","Risk Management Programme","Chicken producers","DD Investments Limited","","9429031400169","Registered","2023-10-11","","Quality Consultants New Zealand Limited","No","","","","","57 Smeed Road, RD4, Tuakau","Auckland","Auckland Council","1","Auckland Council","N/A","N/A","Human Consumption","Broiler (meat) chickens","Chicken producer","",""
"AKD2021/01","Risk Management Programme","Chicken producers","DYH & HSH Family Trust","Ha's Farm","","Registered","2023-10-04","","Quality Consultants New Zealand Limited","No","","","","","118 Motu Road, RD1, Kumeu","Auckland","Auckland Council","1","Auckland Council","N/A","N/A","Human Consumption","Broiler (meat) chickens","Chicken producer","",""
"AKD2024/01","Risk Management Programme","Chicken producers","BJ & RD Stephens Farm Partnership","","","Registered","2023-10-24","","Quality Consultants New Zealand Limited","No","","","","","75 Patumahoe Road,Patumahoe","Auckland","Auckland Council","1","Auckland Council","N/A","N/A","Human Consumption","Broiler (meat) chickens","Chicken producer","",""
"AKD2025/01","Risk Management Programme","Chicken producers","Wolfe Enterprise Limited","","9429051697853","Registered","2024-01-04","","Quality Consultants New Zealand Limited","No","","","","","111 Garvie Road,Hunua","Papakura","Auckland Council","1","Auckland Council","N/A","N/A","Human Consumption","Broiler (meat) chickens","Chicken producer","",""
"AKD2033/01","Risk Management Programme","Chicken producers","Greengrove Limited","","9429031249652","Registered","2023-10-27","","Quality Consultants New Zealand Limited","No","","","","","43 Tawa Road,RD1","Kumeu","Auckland Council","1","Auckland Council","N/A","N/A","Human Consumption","Broiler (meat) chickens","Chicken producer","",""
"AKD2034/01","Risk Management Programme","Chicken producers","Dunvegan Poultry Limited","","9429034344941","Registered","2023-10-26","","Quality Consultants New Zealand Limited","No","","","","","98A Wilson Road, RD3, Hunua,Hunua","Auckland","Auckland Council","1","Auckland Council","N/A","N/A","Human Consumption","Broiler (meat) chickens","Chicken producer","",""
"AKD2039/01","Risk Management Programme","Chicken producers","Wang Yan","","","Registered","2023-10-24","","Quality Consultants New Zealand Limited","No","","","","","[Private]","Auckland","Auckland Council","1","Auckland Council","N/A","N/A","Human Consumption","Broiler (meat) chickens","Chicken producer","",""
"AKD2040/01","Risk Management Programme","Chicken producers","Parakai Birds Limited","","9429035671268","Registered","2023-10-11","","Quality Consultants New Zealand Limited","No","","","","","178 Fordyce Road, RD1, Helensville","Auckland","Auckland Council","2","Auckland Council","N/A","N/A","Human Consumption","Broiler (meat) chickens","Chicken producer","",""
"AKD2042/01","Risk Management Programme","Chicken producers","Golden Lion Limited","","9429051475437","Registered","2023-10-11","","Quality Consultants New Zealand Limited","No","","","","","53 Old Railway Road, Kumeu, RD2","Auckland","Auckland Council","1","Auckland Council","N/A","N/A","Human Consumption","Broiler (meat) chickens","Chicken producer","",""
"AKLP1/01","Risk Management Programme","Custom","Freedom Town Limited","Auckland Poultry","9429045901706","Registered","2020-09-22","","Ministry for Primary Industries - Verification Services","No","","","","","27 Angle Street, Onehunga","Auckland","Auckland Council","1","Auckland Council","N/A","N/A","Human Consumption, Not for human or animal consumption","Chickens, Ducks, Poultry","Dressing, Dressing;Slaughter, Slaughter","Boning/cutting, Industrial Use, Refrigeration, Size reduction, Transport",""
"ALBPH1/01","Risk Management Programme","Custom","Agri-Lab Co-Products Limited","","9429036516193","Registered","2021-07-06","","Ministry for Primary Industries - Verification Services","No","","","","","9 Hatuma Road","Waipukurau","Central Hawkes Bay District Council","1","Central Hawkes Bay District Council","ALBPH1","N/A","Animal Consumption, Human Consumption","Animal products (non-dairy), Bee products, Beeswax, Bivalve molluscan shellfish, Colostrum products, Dairy products, Deer Co-products, Deer Velvet, Dried pollen, Eggs, Fish, Frozen milk products, Non-AP, Offal, Possums, Poultry, Red meat","","Acidification, Blending/mixing, Boning/cutting, Drying/reduction of water activity, Drying/reduction of water activity;Refrigeration;Thermal processing other than in-container retorting/UHT, Fermentation, Filtration, Hydrolysis, Melting, Non-refrigerated storage (processes & receives external product), Pharmaceutical/biological processing, Pharmaceutical/biological processing;Refrigerated storage (processes & receives external product);Refrigeration;Rendering;Salting/curing/brining;Thermal processing other than in-container retorting/UHT, Refrigerated storage (processes & receives external product), Refrigeration, Refrigeration;Supplement manufacture;Thermal processing other than in-container retorting/UHT, Size reduction, Supplement manufacture, Supplement manufacture;Thermal processing other than in-container retorting/UHT, Thermal processing other than in-container retorting/UHT, Transport",""
"ALFAPET01/01","Risk Management Programme","Custom","Azure Group Limited","Alfa Pet","9429030908130","Registered","2016-03-31","","Ministry for Primary Industries - Verification Services","No","","","","","515C Mt Wellington Highway, Mt Wellington","Auckland","Auckland Council","1","Auckland Council","N/A","N/A","Animal Consumption (Petfood)","Animal products (non-dairy), Bee products, Bivalve molluscan shellfish, Deer Velvet, Fish, Poultry, Red meat","","Blending/mixing, Formulation, Non-refrigerated storage (processes & receives external product), Packing/repacking, Supplement manufacture, Transport",""
"ALG1/01","Risk Management Programme","Stores - Cold and Dry","Alliance Logistics Group Limited","","9429049477818","Registered","2024-09-02","","Ministry for Primary Industries - Verification Services","No","","","","","2 Aruhe Road","Christchurch","Christchurch City Council","1","Christchurch City Council","ALG1","N/A","Animal Consumption, Human Consumption, Not for human or animal consumption","Animal products (non-dairy), Bee products, Dairy products, Fats/oils, Non-AP, Other animal products","","Export Loading Facility, Export Loading Facility;Non-refrigerated storage (stand-alone), Export Loading Facility;Non-refrigerated storage (stand-alone);Transport, Non-refrigerated storage (stand-alone), Transport",""
"ALLAN01/01","Risk Management Programme","Eggs","Waiuku Free Range Eggs & Livestock Limited","","9429049217957","Registered","2023-09-11","","VeritAg Limited","No","","","","","41 Rasmussen Road, Aka Aka","Waiuku","Auckland Council","3","Auckland Council","N/A","N/A","Human Consumption","Eggs","Candling, Harvesting, Packing","",""
"ALSTRA01/01","Risk Management Programme","Chicken producers","Alstra (2012) Limited","","9429030601727","Registered","2023-10-31","","Quality Consultants New Zealand Limited","No","","","","","38b River Road,Ngaruawahia","Ngaruawahia","Hamilton City Council","1","Hamilton City Council","N/A","N/A","Not for human or animal consumption","Breeder chickens, Fertile eggs","Chicken producer","",""
"AMPLH168/01","Risk Management Programme","Custom","Aotearoa Marine Products Limited","YuPin Ling Maw","9429050853892","Registered","2023-10-10","","Ministry for Primary Industries - Verification Services","No","","","","","21C Ben Lomond Crescent, Pakuranga Heights","Auckland","Auckland Council","1","Auckland Council","N/A","N/A","Human Consumption","Animal products (non-dairy), Fish, Paua, Sea Cucumber","","Boning/cutting, Drying/reduction of water activity, Drying/reduction of water activity;Non-refrigerated storage (processes & receives external product);Refrigerated storage (processes & receives external product), Labelling, Non-refrigerated storage (processes & receives external product), Packing/repacking, Refrigerated storage (processes & receives external product), Transport",""
"ANSONSEGG1/01","Risk Management Programme","Eggs","Ansons Eggs Limited","","9429052078705","Registered","2024-06-12","","VeritAg Limited","No","","","","","553 Ansons Road,RD1","Darfield","Selwyn District Council","1","Selwyn District Council","N/A","N/A","Human Consumption","Eggs, Layer chickens","Candling, Chicken producer, Harvesting, Packing","Transport",""
"AORAKI8/01","Risk Management Programme","Custom","Mount Cook Alpine Salmon Limited","","9429000016100","Registered","2022-03-18","","Ministry for Primary Industries - Verification Services","No","","","","","552 McLeans Island Road","Christchurch","Christchurch City Council","1","Christchurch City Council","N/A","N/A","Animal Consumption, Human Consumption","Farmed fish, Fish, Non-AP","Filleting, Gutting, Heading, Washing, Whole","Collection, Formulation, Formulation;Refrigeration;Salting/curing/brining;Size reduction;Smoking;Transport, Transport",""
"API13/01","Risk Management Programme","Bee products - Honey and dried pollen processing","Apihealth New Zealand Limited","","9429036968688","Registered","2013-09-19","","AsureQuality Limited","No","","","","","52B Stonedon Drive, East Tamaki","Auckland","Auckland Council","1","Auckland Council","N/A","N/A","Animal Consumption, Human Consumption","Bee products, Honey","","Blending/mixing, Blending/mixing;Collection;Drying/reduction of water activity;Formulation;Non-refrigerated storage (processes & receives external product);Transport, Collection, Drying/reduction of water activity, Extraction, Formulation, Non-refrigerated storage (processes & receives external product), Transport",""
"APIFLORA2/01","Risk Management Programme","Bee products - Honey and dried pollen processing","Apiflora New Zealand Limited","","9429038411724","Registered","2006-06-19","","AsureQuality Limited","No","","","","","1502 State Highway 29, Lower Kaimai","Tauranga","Tauranga City Council","1","Tauranga City Council","N/A","N/A","Animal Consumption, Human Consumption","Bee products, Beeswax, Honey","","Blending/mixing, Extraction, Melting, Transport",""
"APIFLORA3/01","Risk Management Programme","Bee products - Bulk honey storage","Apiflora New Zealand Limited","","9429038411724","Registered","2013-03-18","","AsureQuality Limited","No","","","","","14 Porutu Place, The Lakes, Tauriko","Tauranga","Tauranga City Council","1","Tauranga City Council","N/A","N/A","Human Consumption","Bee products","","Non-refrigerated storage (stand-alone), Refrigerated storage (stand-alone), Transport",""
"AQF02/01","Risk Management Programme","Custom","Aquafresh Products Limited","","9429050111343","Registered","2022-09-19","","Ministry for Primary Industries - Verification Services","No","","","","","83 Vanguard Street","Nelson","Nelson City Council","1","Nelson City Council","N/A","N/A","Animal Consumption (Feeds), Human Consumption","Animal products (non-dairy), Bivalve molluscan shellfish, Farmed fish, Fish, Squid & other cephalopods","Filleting, Gutting, Heading, Shucking, Washing, Whole","Boning/cutting, Formulation, Formulation;Refrigeration;Salting/curing/brining;Smoking;Thermal processing other than in-container retorting/UHT;Transport, Packing/repacking, Refrigerated storage (processes & receives external product), Refrigeration, Salting/curing/brining, Size reduction, Smoking, Thermal processing other than in-container retorting/UHT, Transport",""
"AQUARIUS1/01","Risk Management Programme","Custom","David Charles Olsen","Aquarius Fisheries","9429037960865","Registered","2013-10-16","","Ministry for Primary Industries - Verification Services","No","","","","","Paparore Road, RD 1","Awanui","Far North District Council","1","Far North District Council","N/A","N/A","Human Consumption","Animal products (non-dairy), Bivalve molluscan shellfish, Fish","Filleting, Gutting, Heading, Live, Live;Shucking, Washing, Whole","Packing/repacking, Refrigerated storage (processes & receives external product), Refrigeration, Smoking",""
"ARAMEX1/01","Risk Management Programme","Transport - Animal material and animal products","Aramex Linehaul Limited","","9429039849663","Registered","2023-10-04","","Ministry for Primary Industries - Verification Services","No","","","","","Shed 5, Level 1, Lever Street, Ahuriri","Napier","Napier City Council","1","Napier City Council","N/A","N/A","Animal Consumption, Human Consumption","Animal products (non-dairy)","","Transport",""
"ARATAKI2/01","Risk Management Programme","Bee products - Honey and dried pollen processing","Arataki Honey Limited","","9429040238166","Registered","2019-10-14","","AsureQuality Limited","No","","","","","2488 State Highway 5, Waiotapu","Rotorua","Rotorua Lakes Council","1","Rotorua Lakes Council","N/A","N/A","Animal Consumption, Human Consumption","Bee products, Beeswax, Comb honey, Honey, Pollen","","Blending/mixing, Drying/reduction of water activity, Extraction, Melting, Transport, Wrapping",""
"AROMA35/01","Risk Management Programme","Custom","Aroma (N.Z.) Limited","","9429031947381","Registered","2023-06-30","","Ministry for Primary Industries - Verification Services","No","","","","","12 Senior Place","Christchurch","Christchurch City Council","1","Christchurch City Council","N/A","N/A","Animal Consumption, Animal Consumption (Feeds), Animal Consumption (Petfood)","Animal products (non-dairy), Bee products, Bivalve molluscan shellfish, Deer Velvet, Eggs, Fish, Poultry, Red meat","","Drying/reduction of water activity, Drying/reduction of water activity;Formulation;Non-refrigerated storage (processes & receives external product);Refrigerated storage (processes & receives external product);Slicing;Thawing;Thermal processing other than in-container retorting/UHT, Drying/reduction of water activity;Formulation;Non-refrigerated storage (processes & receives external product);Refrigerated storage (processes & receives external product);Thermal processing other than in-container retorting/UHT, Drying/reduction of water activity;Formulation;Non-refrigerated storage (processes & receives external product);Thermal processing other than in-container retorting/UHT, Drying/reduction of water activity;Formulation;Slicing;Thermal processing other than in-container retorting/UHT, Drying/reduction of water activity;Formulation;Supplement manufacture;Thermal processing other than in-container retorting/UHT;Transport, Drying/reduction of water activity;Formulation;Thermal processing other than in-container retorting/UHT, Formulation, Non-refrigerated storage (processes & receives external product), Packing/repacking, Refrigerated storage (processes & receives external product), Slicing, Supplement manufacture, Thawing, Thermal processing other than in-container retorting/UHT",""
"AROMA4/01","Risk Management Programme","Custom","Aroma (N.Z.) Limited","","9429031947381","Registered","2019-10-23","","Ministry for Primary Industries - Verification Services","Yes","Voluntary Suspension","2025-10-30","2026-10-30","All operations. No animal material or product remains on site.","1 Rangitane Drive","Havelock","Marlborough District Council","1","Marlborough District Council","N/A","N/A","Human Consumption","Animal products (non-dairy), Bivalve molluscan shellfish","Live, Shucking","Drying/reduction of water activity, Refrigerated storage (processes & receives external product), Refrigeration, Size reduction, Thermal processing other than in-container retorting/UHT, Transport",""
"ARRON123/01","Risk Management Programme","Dual operator butcher","KV Butchers limited","Kumeu Village Butchery","9429051399061","Registered","2024-02-14","","Ministry for Primary Industries - Verification Services","No","","","","","86E, Main Road","Kumeu","Auckland Council","1","Auckland Council","N/A","N/A","Human Consumption","Animal products (non-dairy), Poultry, Red meat","","Boning/cutting, Dual Operator butchering, Formulation, Salting/curing/brining, Size reduction, Thermal processing other than in-container retorting/UHT",""
"ATAWHAI11/01","Risk Management Programme","Micro Abattoir","Juniper Hill Limited","Juniper Hill Farm","9429032677652","Registered","2023-11-14","","Ministry for Primary Industries - Verification Services","No","","","","","328 Turamoe Road,RD11","Hastings","Hastings District Council","1","Hastings District Council","N/A","N/A","Human Consumption","Cattle, Farmed Deer, Offal","Dressing, Dressing;Slaughter, Slaughter","Collection, Refrigeration",""
"ATHP1/01","Risk Management Programme","Bee products - Honey and dried pollen processing","Abel Tasman Honey and Pollination Limited","","9429051457433","Registered","2025-09-01","","AsureQuality Limited","No","","","","","311 Main Road,Riwaka","Motueka","Tasman District Council","1","Tasman District Council","N/A","N/A","Human Consumption","Bee products, Comb honey, Honey","","Aseptic packaging, Blending/mixing, Depot, Export Loading Facility, Extraction, Formulation, Non-refrigerated storage (processes & receives external product), Non-refrigerated storage (stand-alone), Packing/repacking, Retail sale, Transport",""
"ATNN030/01","Risk Management Programme","Eggs","Agri Trading Limited","Nectar & Nest","9429030438644","Registered","2023-10-09","","VeritAg Limited","No","","","","","156 Campbell Road","Winton","Southland District Council","1","Southland District Council","N/A","N/A","Human Consumption","Eggs","Candling, Harvesting, Packing","Washing",""
"ATP1/01","Risk Management Programme","Custom","Future Ascent Limited","","9429051985837","Registered","2023-09-19","","Ministry for Primary Industries - Verification Services","Yes","Voluntary Suspension","2025-05-22","2026-02-23","All Operations","75 Henry Road, RD 1","Taupiri","Waikato District Council","1","Waikato District Council","N/A","N/A","Animal Consumption (Petfood)","Poultry, Red meat","","Non-refrigerated storage (stand-alone), Non-refrigerated storage (stand-alone);Refrigerated storage (stand-alone), Refrigerated storage (stand-alone)",""
"AVL1/01","Risk Management Programme","Custom","A Verkerk Limited","","9429031963824","Registered","2020-11-10","","Ministry for Primary Industries - Verification Services","No","","","","","94 Vagues Road, Papanui","Christchurch","Christchurch City Council","1","Christchurch City Council","N/A","N/A","Human Consumption","Red meat, UCFM","","Drying/reduction of water activity;Fermentation;Salting/curing/brining;Size reduction;Smoking;Transport, Formulation, Refrigeration, Salting/curing/brining, Size reduction, Smoking, Thermal processing other than in-container retorting/UHT, Transport",""
"AWAI01/01","Risk Management Programme","Chicken producers","Jorgie4 Limited","Awai Valley Farm","9429041242988","Registered","2023-10-26","","Quality Consultants New Zealand Limited","No","","","","","[Private]","New Plymouth","New Plymouth District Council","1","New Plymouth District Council","N/A","N/A","Human Consumption","Broiler (meat) chickens","Chicken producer","",""
"AZE1/01","Risk Management Programme","Micro Abattoir","AZ Enterprises Limited","","9429049212228","Registered","2025-06-05","","Ministry for Primary Industries - Verification Services","No","","","","","1319 Alfriston Road,Manurewa","Auckland","","1","","N/A","N/A","Human Consumption","Cattle, Farmed goats, Red offals, Sheep","Dressing, Dressing;Slaughter, Slaughter","Refrigeration",""
"AZIS2624/01","Risk Management Programme","Stores - Cold and Dry","Azi's Global Investments Limited","","9429045946868","Registered","2023-07-25","","Ministry for Primary Industries - Verification Services","No","","","","","25 Landing Drive,Mangere","Auckland","Auckland Council","1","Auckland Council","AZIS2624","N/A","Animal Consumption, Human Consumption, Not for human or animal consumption","Animal products (non-dairy), Bee products, Beeswax, Dairy products, Fats/oils, Hides & Skins, Non-AP, Other animal products, Tallow, Wool - fibre","","Non-refrigerated storage (stand-alone), Non-refrigerated storage (stand-alone);Refrigerated storage (stand-alone);Transport, Refrigerated storage (stand-alone), Transport",""
"AZMEAT01/01","Risk Management Programme","Dual operator butcher","AZ Investments 2024 Limited","Ali/Julz Fresh Meats","9429052411915","Registered","2025-10-07","","Ministry for Primary Industries - Verification Services","No","","","","","1309 Alfriston Road,RD1","Auckland","Auckland Council","1","Auckland Council","N/A","N/A","Human Consumption","Animal products (non-dairy), Red meat, Red offals","","Boning/cutting, Collection, Dual Operator butchering;Labelling;Packing/repacking;Refrigerated storage (processes & receives external product);Refrigerated storage (stand-alone);Retail sale, Processing, Refrigeration, Transport",""
"AZURE01/01","Risk Management Programme","Custom","Azure Group Limited","Alfa Pet","9429030908130","Registered","2023-05-19","","Ministry for Primary Industries - Verification Services","No","","","","","494 No.10 Road, Swannanoa","Rangiora","Waimakariri District Council","1","Waimakariri District Council","N/A","N/A","Animal Consumption (Petfood)","Animal products (non-dairy), Bivalve molluscan shellfish, Dairy products, Deer Velvet, Fish, Insects, Poultry, Red meat","","Drying/reduction of water activity, Drying/reduction of water activity;Formulation, Drying/reduction of water activity;Formulation;Refrigeration;Size reduction;Thermal processing other than in-container retorting/UHT, Formulation, Formulation;Non-refrigerated storage (processes & receives external product), Non-refrigerated storage (processes & receives external product), Packing/repacking, Refrigerated storage (processes & receives external product), Refrigeration, Size reduction, Thermal processing other than in-container retorting/UHT, Transport",""
"B2H/01","Risk Management Programme","Eggs","Oxford Free Range Eggs Limited","","9429049547146","Registered","2021-12-13","","Ministry for Primary Industries - Verification Services","No","","","","","605 Poyntzs Road, Eyrewell Forest","West Eyreton","Waimakariri District Council","2","Waimakariri District Council","N/A","N/A","Human Consumption","Eggs","Candling, Harvesting, Packing","Non-refrigerated storage (processes & receives external product), Refrigerated storage (processes & receives external product), Transport, Washing",""
"BACK2/01","Risk Management Programme","Bee products - Honey and dried pollen processing","Back Country Manuka Limited","","9429046205391","Registered","2023-08-24","","AsureQuality Limited","No","","","","","89 McHardie Road, RD 1","Bulls","Rangitikei District Council","1","Rangitikei District Council","N/A","N/A","Human Consumption","Bee products, Beeswax, Honey","","Blending/mixing, Extraction, Melting, Non-refrigerated storage (processes & receives external product), Refrigerated storage (processes & receives external product), Transport",""
"BAL01/01","Risk Management Programme","Dual operator butcher","Butchers Apron Limited","","9429031037273","Registered","2020-12-02","","Ministry for Primary Industries - Verification Services","No","","","","","83 Thorp Road","Paeroa","Hauraki District Council","1","Hauraki District Council","N/A","N/A","Human Consumption","Animal products (non-dairy), Red meat","","Boning/cutting, Dual Operator butchering;Refrigerated storage (processes & receives external product);Refrigeration, Salting/curing/brining, Smoking",""
"BAOHO168/01","Risk Management Programme","Custom","Bao Ho Trading Limited","","9429035876304","Registered","2025-03-28","","Ministry for Primary Industries - Verification Services","No","","","","","6D Harris Road,East Tamaki","Auckland","Auckland Council","1","Auckland Council","N/A","N/A","Human Consumption","Animal products (non-dairy), Bivalve molluscan shellfish, Deer Co-products, Deer Velvet, Fish, Red meat","","Boning/cutting, Drying/reduction of water activity, Drying/reduction of water activity;Refrigeration;Size reduction, Non-refrigerated storage (processes & receives external product), Packing/repacking, Refrigerated storage (processes & receives external product), Refrigeration, Size reduction, Transport",""
"BARHAM412/01","Risk Management Programme","Bee products - Honey and dried pollen processing","Vivienne K Barham & Kambel E Barham","V & K Barham Partnership","","Registered","2020-08-24","","AsureQuality Limited","No","","","","","412 Kahutara Road","Featherston","South Wairarapa District Council","1","South Wairarapa District Council","N/A","N/A","Human Consumption","Bee products","","Extraction, Melting, Non-refrigerated storage (processes & receives external product)",""
"BARK01/01","Risk Management Programme","Custom","The Barkery Limited","","9429049470383","Registered","2023-08-07","","Ministry for Primary Industries - Verification Services","No","","","","","382 Great South Road","Huntly","Waikato District Council","1","Waikato District Council","N/A","N/A","Animal Consumption (Petfood)","Animal products (non-dairy), Fish, Poultry, Red meat","","Drying/reduction of water activity, Drying/reduction of water activity;Formulation;Refrigeration;Size reduction;Thermal processing other than in-container retorting/UHT, Formulation, Non-refrigerated storage (processes & receives external product);Refrigerated storage (processes & receives external product);Transport, Refrigeration, Size reduction, Thermal processing other than in-container retorting/UHT",""
"BARRIE09/01","Risk Management Programme","Bee products - Honey and dried pollen processing","Barries Honey Limited","","9429032568844","Registered","2013-07-17","","AsureQuality Limited","No","","","","","Flatman Road, RD 21","Geraldine","Timaru District Council","1","Timaru District Council","N/A","N/A","Human Consumption","Bee products, Beeswax, Honey","","Collection, Extraction, Non-refrigerated storage (processes & receives external product), Non-refrigerated storage (stand-alone), Transport",""
"BARRYSBAY1/01","Risk Management Programme","Dairy - Cheese domestic supply","Barrys Bay Dairy Company Limited","","9429043348640","Registered","2021-11-09","","AsureQuality Limited","No","","","","","5807 Christchurch-Akaroa Road","DUVAUCHELLE","Christchurch City Council","1","Christchurch City Council","BARRYSBAY1","N/A","Human Consumption","Dairy products, Firm and hard cheese (MSNF < 60%), Soft & semi-soft cheese (MSNF > 60%)","","Filtration, Formulation, Salting/curing/brining, Thermal processing other than in-container retorting/UHT",""
"BARSONPF25/01","Risk Management Programme","Custom","Barson Distributors 2024 Limited","","9429052126932","Registered","2022-10-25","","Ministry for Primary Industries - Verification Services","No","","","","","112 Cross Road, RD 8","Christchurch","Christchurch City Council","1","Christchurch City Council","N/A","N/A","Animal Consumption, Animal Consumption (Petfood), Not for human or animal consumption","Bobby calves, Cattle, Farmed Deer, Farmed goats, Hides & Skins, Horses (includes mules, donkeys & hinnies), Red meat, Sheep","Dressing, Dressing;Slaughter, Slaughter","Boning/cutting, Collection, Refrigeration, Transport",""
"BARTON3/01","Risk Management Programme","Bee products - Honey and dried pollen processing","Barton Holdings Limited","","9429035356356","Registered","2023-03-15","","AsureQuality Limited","No","","","","","150 Wortley Road, Lepperton","New Plymouth","New Plymouth District Council","1","New Plymouth District Council","N/A","N/A","Animal Consumption, Human Consumption","Bee products, Beeswax, Honey","","Blending/mixing, Collection, Extraction, Melting, Non-refrigerated storage (processes & receives external product), Non-refrigerated storage (stand-alone), Transport",""
"BASECAMP2/01","Risk Management Programme","Dual operator butcher","Basecamp 2019 Limited","","9429047086067","Registered","2023-02-02","","Ministry for Primary Industries - Verification Services","No","","","","","38 Grammer Road,RD3,Tahawai","Katikati","Far North District Council","1","Far North District Council","N/A","N/A","Human Consumption","Red meat","","Boning/cutting, Drying/reduction of water activity, Dual Operator butchering, Formulation, Meat at stalls, Refrigerated storage (processes & receives external product), Salting/curing/brining, Size reduction, Smoking, Thawing, Thermal processing other than in-container retorting/UHT",""
"BASESTORE1/01","Risk Management Programme","Stores - Cold and Dry","Base Logistics Limited","","9429033853857","Registered","2020-09-23","","Ministry for Primary Industries - Verification Services","No","","","","","114 Building 3C, Kaimanawa Street","Palmerston North","Palmerston North City Council","1","Palmerston North City Council","N/A","N/A","Animal Consumption, Human Consumption","Animal products (non-dairy), Bee products, Non-AP","","Non-refrigerated storage (stand-alone), Non-refrigerated storage (stand-alone);Transport, Transport",""
"BB2/01","Risk Management Programme","Dual operator butcher","Bottings Butchery Balclutha Limited","","9429040303062","Registered","2011-02-07","","Ministry for Primary Industries - Verification Services","No","","","","","188 Clyde Street","Balclutha","Clutha District Council","1","Clutha District Council","N/A","N/A","Animal Consumption, Human Consumption","Animal products (non-dairy), Red meat","","Boning/cutting, Dual Operator butchering;Refrigerated storage (processes & receives external product), Refrigerated storage (processes & receives external product), Refrigeration, Salting/curing/brining, Size reduction, Thermal processing other than in-container retorting/UHT",""
"BB22/01","Risk Management Programme","Dual operator butcher","Beard Brothers Limited","","9429030894419","Registered","2022-06-30","","Ministry for Primary Industries - Verification Services","No","","","","","116 Stonycroft Street, Camberly","Hastings","Hastings District Council","2","Hastings District Council","N/A","N/A","Human Consumption","Animal products (non-dairy), Poultry, Red meat","","Boning/cutting, Boning/cutting;Formulation;Refrigerated storage (processes & receives external product);Refrigerated storage (stand-alone);Size reduction, Dual Operator butchering, Formulation, Refrigerated storage (processes & receives external product), Refrigeration, Size reduction",""
"BBL1/01","Risk Management Programme","Dual operator butcher","C & S Orlowski Limited","","9429042567219","Registered","2018-05-25","","Ministry for Primary Industries - Verification Services","No","","","","","50 Centre Street","Invercargill","Invercargill City Council","1","Invercargill City Council","N/A","N/A","Animal Consumption, Human Consumption","Animal products (non-dairy), Poultry, Red meat","","Dual Operator butchering, Formulation, Formulation;Refrigeration;Size reduction;Thermal processing other than in-container retorting/UHT, Refrigeration, Size reduction, Thermal processing other than in-container retorting/UHT",""
"BBLOCK2016/01","Risk Management Programme","Dual operator butcher","The Butchers Block Wanaka Limited","","9429041927847","Registered","2016-03-24","","Ministry for Primary Industries - Verification Services","No","","","","","33 Reece Crescent","Wanaka","Queenstown-Lakes District Council","1","Queenstown-Lakes District Council","N/A","N/A","Animal Consumption, Human Consumption","Animal products (non-dairy), Red meat","","Boning/cutting, Boning/cutting;Formulation, Dual Operator butchering, Formulation, Salting/curing/brining, Smoking",""
"BBM19/01","Risk Management Programme","Dairy - Liquid milk domestic supply, Farm dairies - Domestic supply","Glen Edward Claridge","The Natural Dairy","9429044226442","Registered","2022-12-21","","AsureQuality Limited","No","","","","","27 Bulleid Road, RD 18C","Oamaru","Waitaki District Council","2","Waitaki District Council","BBM19","N/A","Human Consumption","Dairy material, Dairy products, Milk & cream","Farm Dairy","Blending/mixing, Collection, Refrigerated storage (processes & receives external product), Separation, Thermal processing other than in-container retorting/UHT, Transport",""
"BBP11/01","Risk Management Programme","Custom","MP Biomedicals New Zealand Limited","","9429031493963","Registered","2019-09-23","","Ministry for Primary Industries - Verification Services","No","","","","","37-39 Waipareira Avenue, Henderson","Auckland","Auckland Council","1","Auckland Council","N/A","N/A","Animal Consumption, Not for human or animal consumption","Animal products (non-dairy)","","Extraction, Industrial Use, Non-refrigerated storage (processes & receives external product), Pharmaceutical/biological processing, Refrigerated storage (processes & receives external product), Refrigeration",""
