"Establishment number","Name of the operator","Location Address","Mailing Address","Function Codes","Telephone Number","Geocodio Latitude","Geocodio Longitude","Geocodio Accuracy Score","Geocodio Accuracy Type","Geocodio Address Line 1","Geocodio Address Line 2","Geocodio Address Line 3","Geocodio House Number","Geocodio Street","Geocodio Unit Type","Geocodio Unit Number","Geocodio City","Geocodio State","Geocodio County","Geocodio Postal Code","Geocodio Country","Geocodio Source"
217,"HALLMARK POULTRY PROCESSORS LTD.","1750 FRANKLIN STREET   VANCOUVER BC V5L 1P7","1756 PANDORA STREET   VANCOUVER BC V5L 1M1","1f 3f 6f 11DGV","(604) 254-9885 (604) 254-7039/F (604) 254-1143/I",49.28192,-123.069137,1,rooftop,"1750 Franklin St",,"Vancouver, BC V5L",1750,"Franklin St",,,Vancouver,BC,,V5L,CA,Vancouver
217A,"HALLMARK POULTRY PROCESSORS LTD.","1756 PANDORA STREET   VANCOUVER BC V5L 1M1","   "," 3f 6f 11DV","(604) 254-9885 (604) 254-7039/F (604) 254-9885/I",49.282811,-123.069098,1,rooftop,"1756 Pandora St",,"Vancouver, BC V5L",1756,"Pandora St",,,Vancouver,BC,,V5L,CA,Vancouver
218,"MAPLE LEAF FOODS INC./LES ALIMENTS MAPLE LEAF INC.Also Doing Business As Name:   MAPLE LEAF FOODS/LES ALIMENTS MAPLE LEAF : MAPLE LEAF CONSUMER FOODS/LES ALIMENTS DE CONSOMMATION MAPLE LEAF : MAPLE LEAF FOOD SERVICE/SERVICE ALIMENTAIRE MAPLE LEAF : MAPLE LEAF PORK/PORC MAPLE LEAF : MAPLE LEAF POULTRY/VOLAILLE MAPLE LEAF : SCHNEIDER FOODS/LES ALIMENTS SCHNEIDER : J.M. SCHNEIDER : MITCHELL'S GOURMET FOODS : HUB MEAT PACKERS : LARSEN PACKERS : COLD SPRING FARMS : MAPLE LEAF POTATOES : HUB MEATS/LES VIANDES HUB : CAPPOLA FOOD : THAMES VALLEY PROCESSORSMAPLE LEAF FOODS","15350 OLD SIMCOE ROAD   PORT PERRY ON L9L 1A6","6985 FINANCIAL DRIVE   MISSISSAUGA ON L5N 0A1"," 6fx 11ADK","(905) 985-7373 (905) 985-7289/F",44.101509,-78.95625,1,rooftop,"15350 Old Simcoe Rd",,"Port Perry, ON L9L",15350,"Old Simcoe Rd",,,"Port Perry",ON,,L9L,CA,"Oshawa (Open Government Licence – The Corporation of the City of Oshawa Contains information licensed under the Open Government Licence – The Corporation of the City of Oshawa)"
219,"INOVATA FOODS CORP.","95 SPRUCE STREET   TILLSONBURG ON N4G 5C4","   "," 6fx 11AD","(519) 688-3256 (519) 688-9246/F",42.851695,-80.710485,1,rooftop,"95 Spruce St",,"Tillsonburg, ON N4G",95,"Spruce St",,,Tillsonburg,ON,,N4G,CA,Oxford
220,"NOSSACK FINE MEATS LTD.","4951A - 78 STREET   RED DEER AB T4P 1N5","   "," 3fx 6fx","(403) 346-5006 (403) 343-8066/F",52.307905,-113.810855,1,rooftop,"4951 A 78th St",,"Red Deer, AB T4P","4951 A","78th St",,,"Red Deer",AB,,T4P,CA,"Countrywide (Adapted from Statistics Canada, National Address Register, 2024-05-11. This does not constitute an endorsement by Statistics Canada of this product.)"
222,"VENETIAN MEAT & SALAMI COMPANY LIMITED","947 BURLINGTON STREET EAST   HAMILTON ON L8L 4K6","   "," 3x 6x 11AD","(905) 545-1845 (905) 545-1627/I (905) 545-1888/F",43.263183,-79.82298,1,rooftop,"947 Burlington St E",,"Hamilton, ON L8L",947,"Burlington St E",,,Hamilton,ON,,L8L,CA,"Countrywide (Adapted from Statistics Canada, National Address Register, 2024-05-11. This does not constitute an endorsement by Statistics Canada of this product.)"
224,"SOFINA FOODS INC./ALIMENTS SOFINA INC.Also Doing Business As Name:   SANTA MARIA FOODS ULC","350 BELL BOULEVARD   BELLEVILLE ON K8P 5H8","100 COMMERCE VALLEY DRIVE WEST   MARKHAM ON L3T 0A1"," 6x 11AD","(613) 968-3531 (613) 968-3532/F",44.183352,-77.417545,1,rooftop,"350 Bell Blvd",,"Belleville, ON K8P",350,"Bell Blvd",,,Belleville,ON,,K8P,CA,"Countrywide (Adapted from Statistics Canada, National Address Register, 2024-05-11. This does not constitute an endorsement by Statistics Canada of this product.)"
225,"AGROMEX INC.Also Doing Business As Name:   F.MENARD","505 BOUL. INDUSTRIEL   ST-JEAN-SUR-RICHELIEU QC J3B 7Z3","   "," 3x 11ADFGQSVI 12Y","(450) 293-3694 (450) 293-2622/F",45.314578,-73.283412,1,rooftop,"505 Boul Industriel",,"Saint-Jean-Sur-Richelieu, QC J3B",505,"Boul Industriel",,,Saint-Jean-Sur-Richelieu,QC,,J3B,CA,"Province (Le ministère des Ressources naturelles et des Forêts CC BY 4.0)"
229,"PREMIUM BRANDS OPERATING LIMITED PARTNERSHIPAlso Doing Business As Name:   PILLER'S : PILLER SAUSAGES & DELICATESSENS : PILLER'S FINE FOODS-A DIVISION OF PBOLP","443 WISMER STREET   WATERLOO ON N2K 2K6","P.O. BOX 338   WATERLOO ON N2J 4A4"," 3fx 6fx 11AD","(519) 743-1412 (519) 743-7111/F Ext. 228",43.495989,-80.488709,1,rooftop,"443 Wismer St",,"Waterloo, ON N2K",443,"Wismer St",,,Waterloo,ON,,N2K,CA,Waterloo
230,"INTERCITY PACKERS LTD.*","1575 KOOTENAY ST.   VANCOUVER BC V5K 4Y3","   "," 3fx 6fx 11K","(604) 291-7796 (604) 291-0456/F (   )    -",49.270267,-123.027,1,rooftop,"1575 Kootenay St",,"Vancouver, BC V5K",1575,"Kootenay St",,,Vancouver,BC,,V5K,CA,"Countrywide (Adapted from Statistics Canada, National Address Register, 2024-05-11. This does not constitute an endorsement by Statistics Canada of this product.)"
231,"CAPITAL PACKERS INC.Also Doing Business As Name:   Capital Fine Meats","12907 - 57TH STREET   EDMONTON AB T5A 0E7","   "," 3x 6fx 11C","(780) 476-1391 (780) 478-0083/F (780) 475-7199",53.587667,-113.429027,1,rooftop,"12907 57th St NW",,"Edmonton, AB T5A",12907,"57th St NW",,,Edmonton,AB,,T5A,CA,"Countrywide (Adapted from Statistics Canada, National Address Register, 2024-05-11. This does not constitute an endorsement by Statistics Canada of this product.)"
232,"PINTY'S DELICIOUS FOODS INC.Also Doing Business As Name:   SOUTHERN FINE FOODS","2714 BRISTOL CIRCLE   OAKVILLE ON L6H 6A1","5063 NORTH SERVICE ROAD   BURLINGTON ON L7L 5H6"," 6fx 11D","(905) 829-1130 (905) 829-4359/F",43.509625,-79.68449,1,rooftop,"2714 Bristol Cir",,"Oakville, ON L6H",2714,"Bristol Cir",,,Oakville,ON,,L6H,CA,"Countrywide (Adapted from Statistics Canada, National Address Register, 2024-05-11. This does not constitute an endorsement by Statistics Canada of this product.)"
234,"BEECHGROVE COUNTRY FOODS INC.","20 MINUK ACRES   TORONTO ON M1E 4Y6","   "," 6fx 11ADK","(416) 283-8777 (416) 283-1608/F (416) 283-8777/I",43.765551,-79.158553,1,rooftop,"20 Minuk Acres",,"Scarborough, ON M1E",20,"Minuk Acres",,,Scarborough,ON,,M1E,CA,"Countrywide (Adapted from Statistics Canada, National Address Register, 2024-05-11. This does not constitute an endorsement by Statistics Canada of this product.)"
236,"MONTOUR LT�E MONTOUR LTD.","1080 BOUL. MICHELE-BOHEC   BLAINVILLE QC J7C 5N5","   "," 5Y 9C/US 11C","(450) 433-1312 (450) 433-5085/F",45.667214,-73.898268,1,range_interpolation,"1080 Michèle-Bohec Blvd",,"Blainville, QC J7C",1080,"Michèle-Bohec Blvd",,,Blainville,QC,,J7C,CA,"Address Ranges"
237,"SOFINA FOODS INC./ALIMENTS SOFINA INC.Also Doing Business As Name:   LILYDALE INC.","9620 - 56 AVENUE   EDMONTON AB T6E 0B3","100 COMMERCE VALLEY DRIVE  WEST   MARKHAM ON L3T 0A1"," 6fx","(780) 435-3944 (780) 436-6867/F (780) 434-9523/I",53.49207,-113.477931,1,place,,,"Edmonton, AB T6E",,,,,Edmonton,AB,,T6E,CA,"CanVec+ by Natural Resources Canada"
243,"OMEGA TRADING COMPANY INC.","61 TORLAKE CRESCENT   TORONTO ON M8Z 1B4","   "," 3f 6f 9BUS 11D","(416) 253-2200 (416) 253-7800/F EXT. 18",43.612008,-79.526053,0.89,nearest_rooftop_match,"55 Torlake Cres",,"Etobicoke, ON M8Z",55,"Torlake Cres",,,Etobicoke,ON,,M8Z,CA,"Countrywide (Adapted from Statistics Canada, National Address Register, 2024-05-11. This does not constitute an endorsement by Statistics Canada of this product.)"
248,"NADEAU FERME AVICOLE LIMITEE/NADEAU POULTRY FARM LIMITED","2222; RUE COMMERCIAL   ST-FRANCOIS NB E7A 1B6","   ","1fi 3f 6f 11D","(506) 992-2192 (506) 992-3660/F",47.244113,-68.716962,1,rooftop,"2222 Commerciale St",,"Saint-Francois-De-Madawaska, NB E7A",2222,"Commerciale St",,,Saint-Francois-De-Madawaska,NB,,E7A,CA,"Province (GeoNB Open Data License Contains information licenced under the GeoNB Open Data Licence)"
250,"OLYMEL S.E.C./OLYMEL L.P.Also Doing Business As Name:   ALIMENTS TRIOMPHE : CHARCUTERIE LA TOUR EIFFEL : BILOPAGE : ST-GERMAIN","485; RUE DES ENTREPRENEURS   QU�BEC QC G1M 2V2","   "," 6fgx 11D","(418) 687-2840 (418) 688-9558/F",46.820196,-71.276062,1,rooftop,"485 Rue Des Entrepreneurs",,"Quebec, QC G1M",485,"Rue Des Entrepreneurs",,,Quebec,QC,,G1M,CA,"Province (Le ministère des Ressources naturelles et des Forêts CC BY 4.0)"
251,"SPECIALITES LASSONDE INCAlso Doing Business As Name:   MONDIV : MONDIV; DIVISION DE SP�CIALIT�S LASSONDE INC. : MONDIV; DIVISION OF LASSONDE SPECIALTIES INC.","3810 RUE ALFRED-LALIBERT�   BOISBRIAND QC J7H 1P8","200 RUE ST-JOSEPH   SAINT-DAMASE QC J0H 1J0"," 2fx 6fx 11AD","(450) 979-0717 (450) 979-2278/F",45.637629,-73.860774,1,rooftop,"3810 Rue Alfred-Laliberté",,"Boisbriand, QC J7H",3810,"Rue Alfred-Laliberté",,,Boisbriand,QC,,J7H,CA,"Province (Le ministère des Ressources naturelles et des Forêts CC BY 4.0)"
254,"LES ALIMENTS TRANS GRAS INC.Also Doing Business As Name:   DRUMMOND EXPORT;PRIMAVERA; LES ALIMENTS ATG/ATG FOODS","2825 RUE POWER   DRUMMONDVILLE QC J2C 6Z6","   "," 3x 6fx 9BC/US 11ADGKQSVI 12Y","(819) 472-1125 (819) 472-7410/F",45.86972,-72.526171,1,rooftop,"2825 Rue Power",,"Drummondville, QC J2C",2825,"Rue Power",,,Drummondville,QC,,J2C,CA,"Province (Le ministère des Ressources naturelles et des Forêts CC BY 4.0)"
255,"KING COLE DUCKS LIMITED","15351 WARDEN AVENUE R.R. 3   NEWMARKET ON L3Y 4W1","15351 WARDEN AVENUE   STOUFFVILLE ON L4A 2V5","1fi 3f 6f 11ADK","(905) 836-9461 (905) 836-4440/F",43.835039,-79.328494,0.61,street_center,"Warden Ave",,"Markham, ON L3R",,"Warden Ave",,,Markham,ON,,L3R,CA,"CanVec+ by Natural Resources Canada"
256,"MAPLE LODGE FARMS LTD.Also Doing Business As Name:   PUDDY BROS. A DIVISION OF MAPLE LODGE FARMS LTD.","7120 EDWARDS BLVD.   MISSISSAUGA ON L5S 1Z1","   "," 3f 6f 11D","(905) 795-0001 (905) 795-0047/F",43.650247,-79.707546,1,rooftop,"7120 Edwards Blvd",,"Mississauga, ON L5S",7120,"Edwards Blvd",,,Mississauga,ON,,L5S,CA,"Countrywide (Adapted from Statistics Canada, National Address Register, 2024-05-11. This does not constitute an endorsement by Statistics Canada of this product.)"
263,"OLYMEL S.E.C./OLYMEL L.P.Also Doing Business As Name:   ALIMENTS TRIOMPHE : CHARCUTERIE LA TOUR EIFFEL : CHARCUTERIE DE BRETAGNE : CHARCUTERIE LA BELLE BRETAGNE : CHEF GEORGES : SUMMERSWEET MC : LA MERE POULE ALIMENTS POUR BEBES : MOTHER HEN BABY FOODS : LES ALIMENTS LA MERE POULE : MOTHER HEN FOODS : NOSTRANO : CHARCUTERIE NOUVELLE FRANCE : SANTA CROCE : LA CIE SALAMI VENITIEN MONTREAL : VENITIAN SALAMI CO MONTREAL : SALAMI ALPINA : ALPINA SALAMI: ANTOINE : NOSTRANO NATUREL : NOSTRANO NATURAL","1020 BOUL. MICHELE-BOHEC   BLAINVILLE QC J7C 5E2","   "," 3x 6fgx 11D","(450) 979-0001 (450) 435-8315/F",45.666356,-73.89503,1,rooftop,"1020 Michèle-Bohec Blvd",,"Blainville, QC J7C",1020,"Michèle-Bohec Blvd",,,Blainville,QC,,J7C,CA,"Countrywide (Adapted from Statistics Canada, National Address Register, 2024-05-11. This does not constitute an endorsement by Statistics Canada of this product.)"
265,"ALIMENTS OUIMET-CORDON BLEU INC./OUIMET-CORDON BLEU FOODS INC.Also Doing Business As Name:   CLARK : CLARK'S : ESTA","8383; RUE J-REN�-OUIMET   ANJOU QC H1J 2P8","   "," 2fx 6fx 11D","(514) 352-3000 (514) 352-3226/F",45.622419,-73.58319,1,rooftop,"8383 Rue J-René-ouimet",,"Anjou, QC H1J",8383,"Rue J-René-ouimet",,,Anjou,QC,,H1J,CA,Montreal
267,"SOO JERKY LIMITEDAlso Doing Business As Name:   SUE'S JERKY","13191 PRINCESS STREET   RICHMOND BC V7E 3S1","   "," 3x 6fx 11DF","(604) 272-5758 (604) 272-0901/F",49.117605,-123.156321,1,rooftop,"13191 Princess St",,"Richmond, BC V7E",13191,"Princess St",,,Richmond,BC,,V7E,CA,"Countrywide (Adapted from Statistics Canada, National Address Register, 2024-05-11. This does not constitute an endorsement by Statistics Canada of this product.)"
268,"BIG CHIEF MEAT SNACKS INC.","3900 - 52ND AVENUE SE   CALGARY AB T3J 3X4","   "," 6x","(403)264-2641 (403) 262-9053/F Ext. 106/I",51.100216,-113.977558,1,rooftop,"3900 52nd Ave NE",,"Calgary, AB T3J",3900,"52nd Ave NE",,,Calgary,AB,,T3J,CA,"Countrywide (Adapted from Statistics Canada, National Address Register, 2024-05-11. This does not constitute an endorsement by Statistics Canada of this product.)"
269,"EVEREST WHOLESALE MEAT LTD.","7171 TORBRAM ROAD; UNIT C26-28   MISSISSAUGA ON L4T 3W4","   "," 3f 6f 11D","(905) 676-7600 (905) 676-7670/F",43.697882,-79.657359,1,rooftop,"7171 Torbram Rd","Unit C26","Mississauga, ON L4T",7171,"Torbram Rd",Unit,C26,Mississauga,ON,,L4T,CA,"Countrywide (Adapted from Statistics Canada, National Address Register, 2024-05-11. This does not constitute an endorsement by Statistics Canada of this product.)"
270A,"OLYMEL S.E.C./OLYMEL L.P.Also Doing Business As Name:   OLYMEL S.E.C./L.P. : ALIMENTS PRINCE; S.E.C./PRINCE FOODS; L.P. : SUPRALIMENT S.E.C.","7550 - 40TH AVENUE   RED DEER AB T4P 2H8","   ","1d 3x 4Y 5Y 6x 11DFGIKOQVSA 12Y","(403) 343-8700 (403) 342-1433/I (403) 309-7531/F",52.301933,-113.790524,1,rooftop,"7550 40th Ave",,"Red Deer, AB T4P",7550,"40th Ave",,,"Red Deer",AB,,T4P,CA,"Province (Contains information licensed under the Open Government Licence – Alberta Municipal Data Sharing Partnership (AMDSP))"
271B,"MAPLE LEAF FOODS INC./LES ALIMENTS MAPLE LEAF INC.Also Doing Business As Name:   MAPLE LEAF FOODS/LES ALIMENTS MAPLE LEAF : MAPLE LEAF CONSUMER FOODS/LES ALIMENTS DE CONSOMMATION MAPLE LEAF : MAPLE LEAF FOOD SERVICE/SERVICE ALIMENTAIRE MAPLE LEAF : MAPLE LEAF PORK/PORC MAPLE LEAF : MAPLE LEAF POULTRY/VOLAILLE MAPLE LEAF : SCHNEIDER FOODS/LES ALIMENTS SCHNEIDER :HUB MEAT PACKERS : LARSEN PACKERS : J.M. SCHNEIDER : MITCHELL'S GOURMET FOODS : COLD SPRINGS FARMS : MAPLE LEAF POTATOES : HUB MEATS/LES VIANDES HUB : CAPPOLA FOOD : THAMES VALLEY PROCESSORSMAPLE LEAF FOODS","2525 AVENUE FRANCIS-HUGUES   LAVAL QC H7S 2H7","   "," 3x 6fx 11AD","(450) 967-1130 (450) 967-1801/F (236)    -",45.586995,-73.72931,1,rooftop,"2525 Ave Francis-Hughes",,"Laval, QC H7S",2525,"Ave Francis-Hughes",,,Laval,QC,,H7S,CA,Laval
272,"EMBALLAGE AVICO INC./AVICO PACKAGING INC.","1460; RUE PROVINCIALE   QU�BEC QC G1N 4A2","   "," 3fx 6fx 11D","(418) 682-5024 (418) 682-5025/F",46.80213,-71.265557,1,rooftop,"1460 Rue Provinciale",,"Quebec, QC G1N",1460,"Rue Provinciale",,,Quebec,QC,,G1N,CA,"Province (Le ministère des Ressources naturelles et des Forêts CC BY 4.0)"
273,"975837 ONTARIO LIMITEDAlso Doing Business As Name:   PATTY KING INTERNATIONAL","307 EDGELEY BLVD. UNITS 1-6   VAUGHAN ON L4K 3Z5","   "," 6fx 11D","(905) 660-4306 (905) 660-4932/F",43.80061,-79.533176,1,rooftop,"307 Edgeley Blvd",1-6,"Concord, ON L4K",307,"Edgeley Blvd",,1-6,Concord,ON,,L4K,CA,"Countrywide (Adapted from Statistics Canada, National Address Register, 2024-05-11. This does not constitute an endorsement by Statistics Canada of this product.)"
274,"9020-2516 QU�BEC INC.Also Doing Business As Name:   MARVID POULTRY CANADA","5671 BOUL. INDUSTRIEL   MONTREAL NORD QC H1G 3Z9","   ","1fj 3f 11D","(514) 321-8376 (514) 329-4568/F",45.602205,-73.617603,1,rooftop,"5671 Boul Industriel",,"Montreal-Nord, QC H1G",5671,"Boul Industriel",,,Montreal-Nord,QC,,H1G,CA,Montreal
277,"MAPLE LEAF FOODS INC./LES ALIMENTS MAPLE LEAF INC.Also Doing Business As Name:   MAPLE LEAF FOODS/LES ALIMENTS MAPLE LEAF : MAPLE LEAF CONSUMER FOODS/LES ALIMENTS DE CONSOMMATION MAPLE LEAF : MAPLE LEAF FOOD SERVICE/SERVICE ALIMENTAIRE MAPLE LEAF : MAPLE LEAF PORK/PORC MAPLE LEAF : MAPLE LEAF POULTRY/VOLAILLE MAPLE LEAF : SCHNEIDER FOODS/LES ALIMENTS SCHNEIDER : J.M. SCHNEIDER : MITCHELL'S GOURMET FOODS : HUB MEAT PACKERS : LARSEN PACKERS : COLD SPRING FARMS : MAPLE LEAF POTATOES : HUB MEATS/LES VIANDES HUB : CAPPOLA FOOD : THAMES VALLEY PROCESSORSMAPLE LEAF FOODS","254; RUE PRINCIPALE   ST. ANSELME QC G0R 2N0","6985 FINANCIAL DRIVE   MISSISSAUGA ON L5N 0A1"," 6fx 11ADK","(418) 885-4474 (418) 885-9408/F",47.11509,-70.016151,0.9,range_interpolation,"254 Principale Rue",,"Tourville, QC G0R",254,"Principale Rue",,,Tourville,QC,,G0R,CA,"Address Ranges"
278,"ALIMENTS MELLO INC.Also Doing Business As Name:   ALIMENTS KORONA INC./KORONA FOODS INC.","5509 RUE FULLUM   MONTREAL QC H2G 2H5","   "," 3fx 6x 11AD","(514) 523-2186 (514) 523-9974/F",45.542437,-73.58042,1,rooftop,"5509 Rue Fullum",,"Montreal, QC H2G",5509,"Rue Fullum",,,Montreal,QC,,H2G,CA,"Province (Le ministère des Ressources naturelles et des Forêts CC BY 4.0)"
279,"BORGES FOODS LTD.Also Doing Business As Name:   MELACOR FOODS","1831 MATTAWA AVENUE   MISSISSAUGA ON L4X 1K7","1821 MATTAWA AVENUE   MISSISSAUGA ON L4X 1K7"," 6fgx 11AD","(905) 277-0677 (905) 277-0533/F",43.616404,-79.57049,1,rooftop,"1831 Mattawa Ave",,"Mississauga, ON L4X",1831,"Mattawa Ave",,,Mississauga,ON,,L4X,CA,"Peel Region"
280,"9284-5288 QU�BEC INC.Also Doing Business As Name:   VOLAILLES ET CIE","329; RUE MARION   REPENTIGNY QC J5Z 4W8","   "," 3fx 6fx 11D","(450) 654-3700 (450) 654-7552/F",45.755843,-73.484435,1,rooftop,"329 Rue Marion",,"Repentigny, QC J5Z",329,"Rue Marion",,,Repentigny,QC,,J5Z,CA,"Province (Le ministère des Ressources naturelles et des Forêts CC BY 4.0)"
281,"SUNRISE POULTRY PROCESSORS LTD.Also Doing Business As Name:   DUNN-RITE FOOD PRODUCTS","199 HAMELIN STREET   WINNIPEG MB R3T 0P2","   ","1fi 3f 6f 11ADGV","(204) 452-8379 (204) 284-2862/F (204) 284-3725/I",49.829354,-97.168511,0.87,nearest_rooftop_match,"171 Hamelin St",,"Winnipeg, MB R3T",171,"Hamelin St",,,Winnipeg,MB,,R3T,CA,"Countrywide (Adapted from Statistics Canada, National Address Register, 2024-05-11. This does not constitute an endorsement by Statistics Canada of this product.)"
282,"MC CAIN FOODS LIMITEDAlso Doing Business As Name:   WONG WING; A DIVISION OF MC CAIN FOODS LIMITED","1875 RUE BERCY   MONTREAL QC H2K 2T9","   "," 6fx 11ADF","(514) 524-3676 (514) 521-1404/F",45.534699,-73.549738,1,rooftop,"1875 Rue Bercy",,"Montreal, QC H2K",1875,"Rue Bercy",,,Montreal,QC,,H2K,CA,"Province (Le ministère des Ressources naturelles et des Forêts CC BY 4.0)"
283,"C&C PACKING LIMITED PARTNERSHIPAlso Doing Business As Name:   Les Viandes Premiere- Premier Meat Packers (TM)","270; RUE JOSEPH-CARRIER   VAUDREUIL-DORION QC J7V 5V5","   "," 3xf 6xf 11ADLQR","(450) 424-0500 (450) 424-5554/F",45.407979,-74.048691,1,rooftop,"270 Rue Joseph-Carrier",,"Vaudreuil-Dorion, QC J7V",270,"Rue Joseph-Carrier",,,Vaudreuil-Dorion,QC,,J7V,CA,"Province (Le ministère des Ressources naturelles et des Forêts CC BY 4.0)"
285,"MAPLE LODGE FARMS LTD.","LOT 2; CONCESSION 6 WEST HURONTARIO STREET (WHS)  BRAMPTON ON L6Y 0A2","8301 WINSTON CHURCHILL BOULEVARD   BRAMPTON ON L6Y 0A2","1fi 3f 6f 8Y 9B/US 11ADGRVH","(905) 455-8340 (905) 455-8370/F Ext. 202; 267/I",43.614191,-79.804862,0.5,place,,,"Brampton, ON L6Y",,,,,Brampton,ON,,L6Y,CA,"CanVec+ by Natural Resources Canada"
288,"CHARCUTERIE L. FORTIN LT�E.Also Doing Business As Name:   PRODUITS L.F.: PHILIPS MEATS: VIANDES PHILIPS: PHILIPS FOODS: ALIMENTS PHILIPS : BOUCHERIE CHARCUTERIE PERRON","5371 AVENUE DU PONT NORD   ALMA QC G8E 1T7","   "," 6x 11AD","(418) 347-3365 (418) 347-4638",48.630542,-71.689569,0.9,range_interpolation,"5371 Du Pont Ave N",,"Alma, QC G8E",5371,"Du Pont Ave N",,,Alma,QC,,G8E,CA,"Address Ranges"
289,"JOHN MACHER INC.","1620 RUE DE LOUVAIN OUEST   MONTREAL QC H4N 1G7","   "," 6x 11AD","(514) 383-1900 (514) 383-1073/F",45.531157,-73.66212,1,rooftop,"1620 Rue De Louvain O",,"Montreal, QC H4N",1620,"Rue De Louvain O",,,Montreal,QC,,H4N,CA,"Province (Le ministère des Ressources naturelles et des Forêts CC BY 4.0)"
290,"MOLINARO'S FINE ITALIAN FOODS LTD.","2345 STANFIELD ROAD; UNIT 3A;4;50   MISSISSAUGA ON L4Y 3Y3","2345 STANFIELD ROAD; UNIT #50   MISSISSAUGA ON L4Y 3Y3"," 6fx 11AD","(905) 275-7400 (905) 275-7318/F Ext. 36/I",43.598349,-79.582879,1,rooftop,"2345 Stanfield Rd","Unit 3A","Mississauga, ON L4Y",2345,"Stanfield Rd",Unit,3A,Mississauga,ON,,L4Y,CA,"Countrywide (Adapted from Statistics Canada, National Address Register, 2024-05-11. This does not constitute an endorsement by Statistics Canada of this product.)"
291,"COUNTRY RIBBON INC.","BLDG. 902-907 EAST WHITEHILLS ROAD  ST. JOHN'S NL A1C 5L7","P.O. BOX 803   ST. JOHN'S NL A1C 5L7","1f 3f 6fx 11DGK","(709) 722-3751 (709) 722-6010/F",47.557808,-52.715592,0.58,street_center,"John St",,"St. John's, NL A1C",,"John St",,,"St. John's",NL,,A1C,CA,"CanVec+ by Natural Resources Canada"
292,"HAMEL INC.","436 AVENUE TANIATA   LEVIS QC G6W 5M6","   "," 6fx 11D","(418) 839-4193 (418) 839-8386/F",46.742974,-71.226101,0.9,rooftop,"436 Taniata Ave",,"Levis, QC G6W",436,"Taniata Ave",,,Levis,QC,,G6W,CA,"Countrywide (Adapted from Statistics Canada, National Address Register, 2024-05-11. This does not constitute an endorsement by Statistics Canada of this product.)"
294,"4372795 MANITOBA LTD.Also Doing Business As Name:   SMITH'S CORNED BEEF AND SAUSAGE : SMITH'S QUALITY MEATS","1434 CHURCH AVENUE   WINNIPEG MB R2X 1G4","   "," 6fx","(204) 633-7054 (204) 694-0708/F",49.937386,-97.175485,0.91,nearest_rooftop_match,"1430 Church Ave",,"Winnipeg, MB R2X",1430,"Church Ave",,,Winnipeg,MB,,R2X,CA,"Countrywide (Adapted from Statistics Canada, National Address Register, 2024-05-11. This does not constitute an endorsement by Statistics Canada of this product.)"
297,"CONCORD PREMIUM MEATS LTD.Also Doing Business As Name:   MARCANGELO FOODS : CONCORD PREMIUM FOODS : BLACK RIVER ANGUS COMPANY LIMITED : CENTRAL PARK DELI : BLACK VALLEY ANGUS COMPANY LIMITED : MARCANGELO-LES ALIMENTS SKOULAKIS-SKOULAKIS : COUNTY CREEK MEAT COMPANY LIMITED : CONNIES KITCHEN","125 EDILCAN DRIVE   VAUGHAN ON L4K 3S6","   "," 3x 6fx 11ADF","(905) 738-7979 (905) 738-5833/F",43.816026,-79.524382,1,rooftop,"125 Edilcan Dr",,"Concord, ON L4K",125,"Edilcan Dr",,,Concord,ON,,L4K,CA,"City of Markham (York Region Open Data Licence Contains public sector information made available under The Regional Municipality of York's Open Data Licence)"
299,"PRODUITS ALIMENTAIRES BERTHELET INC.","1805; RUE BERLIER   LAVAL QC H7L 3S4","   "," 6fx","(514) 334-5503 (514) 334-3584/F (450) 681-1246/I",45.583301,-73.746284,1,rooftop,"1805 Rue Berlier",,"Laval, QC H7L",1805,"Rue Berlier",,,Laval,QC,,H7L,CA,"Province (Le ministère des Ressources naturelles et des Forêts CC BY 4.0)"
302,"INOVATA FOODS CORP.","12803 - 149 ST. NW   EDMONTON AB T5L 2J7","   "," 6fx 11AD","(780) 454-8665 (780) 454-8668/F",53.587527,-113.577933,1,place,,,"Edmonton, AB T5L",,,,,Edmonton,AB,,T5L,CA,"CanVec+ by Natural Resources Canada"
303,"MACGREGORS MEAT & SEAFOOD LTD.Also Doing Business As Name:   STEAKHOUSE CHOICE","265 GARYRAY DRIVE   TORONTO ON M9L 1P2","   "," 3fx 6fx","(416) 749-5951 (416) 740-3230/F Ext. 251/I",43.768707,-79.538825,1,rooftop,"265 Garyray Dr",,"North York, ON M9L",265,"Garyray Dr",,,"North York",ON,,M9L,CA,"Countrywide (Adapted from Statistics Canada, National Address Register, 2024-05-11. This does not constitute an endorsement by Statistics Canada of this product.)"
304,"ZINETTI FOOD PRODUCTS LTD.","17760 - 66th AVENUE   SURREY BC V3S 7X1","   "," 6fx 11DLA","(604) 574-2028 (604) 574-1097/F",49.1222,-122.730096,1,rooftop,"17760 66th Ave",,"Surrey, BC V3S",17760,"66th Ave",,,Surrey,BC,,V3S,CA,"Countrywide (Adapted from Statistics Canada, National Address Register, 2024-05-11. This does not constitute an endorsement by Statistics Canada of this product.)"
